qst_deliver_message|送 信 給 {s13}
qst_deliver_message_to_enemy_lord|送 信 給 {s13}
qst_raise_troops|培 養 {reg1}名 {s14}
qst_escort_lady|護 送 {s13}去 {s14}
qst_deal_with_bandits_at_lords_village|從 強 盜 手 裡 解 救 {s15}村 
qst_collect_taxes|到 {s3}征 稅 
qst_hunt_down_fugitive|抓 捕 {s4}
qst_kill_local_merchant|殺 掉 {s3}的 地 方 商 人 
qst_bring_back_runaway_serfs|追 回 逃 跑 的 農 奴 
qst_follow_spy|跟 蹤 准 備 去 碰 頭 的 間 諜 
qst_capture_enemy_hero|抓 捕 在 {s13}的 一 個 領 主 
qst_lend_companion|把 你 的 同 伴 {s3}借 給 {s9}
qst_collect_debt|討 要 {s3}欠 {s9}的 借 款 
qst_incriminate_loyal_commander|控 告 {s13}的 忠 心 指 揮 官 {s16}
qst_meet_spy_in_enemy_town|與 在 {s13}的 間 諜 碰 頭 
qst_capture_prisoners|抓 捕 {reg1}個 {s3}俘 虜 
qst_lend_surgeon|把 你 的 外 科 醫 生 {s3}借 給 {s1}
qst_follow_army|跟 隨 {s9}的 部 隊 
qst_report_to_army|向 {s13}的 部 隊 指 揮 官 報 告 情 況 
qst_deliver_cattle_to_army|把 {reg3}頭 牛 趕 到 {s13}
qst_join_siege_with_army|參 加 {s14}的 圍 城 戰 
qst_screen_army|掩 護 {s13}的 軍 隊 前 進 
qst_scout_waypoints|偵 察 {s13}， {s14}和 {s15}
qst_rescue_lord_by_replace|從 {s14}解 救 {s13}
qst_deliver_message_to_prisoner_lord|送 信 給 {s14}的 {s13}
qst_duel_for_lady|與 {s13}決 斗 
qst_duel_courtship_rival|與 {s13}決 斗 （ 可 選 擇 ） 
qst_duel_avenge_insult|與 {s13}決 斗 
qst_move_cattle_herd|趕 牛 到 {s13}
qst_escort_merchant_caravan|護 送 商 隊 去 {s8}
qst_deliver_wine|捎 帶 {reg5}單 位 的 {s6}到 {s4}
qst_troublesome_bandits|解 決 難 對 付 的 強 盜 
qst_kidnapped_girl|從 強 盜 那 兒 贖 回 女 孩 
qst_persuade_lords_to_make_peace|確 保 兩 個 領 主 不 反 對 和 平 
qst_deal_with_looters|解 決 劫 匪 
qst_deal_with_night_bandits|解 決 暗 夜 強 盜 
qst_deliver_grain|籌 集 小 麥 給 {s3}
qst_deliver_cattle|籌 集 {reg5}頭 牛 給 {s3}
qst_train_peasants_against_bandits|訓 練 農 民 以 對 抗 在 {s13}的 強 盜 
qst_eliminate_bandits_infesting_village|從 強 盜 手 裡 解 救 {s7}村 
qst_visit_lady|拜 訪 女 士 
qst_formal_marriage_proposal|正 式 求 婚 提 案 
qst_obtain_liege_blessing|正 式 求 婚 提 案 
qst_wed_betrothed|和 你 的 未 婚 妻 成 婚 
qst_wed_betrothed_female|和 你 的 未 婚 妻 成 婚 
qst_join_faction|宣 誓 效 忠 於 {s1}
qst_rebel_against_kingdom|幫 助 {s13}取 得 {s14}的 王 位 
qst_consult_with_minister|和 首 席 大 臣 商 議 
qst_organize_feast|組 織 宴 會 
qst_resolve_dispute|解 決 爭 端 
qst_offer_gift|獲 取 禮 物 
qst_denounce_lord|指 控 領 主 
qst_intrigue_against_lord|密 謀 反 對 領 主 
qst_track_down_bandits|追 捕 強 盜 
qst_track_down_provocateurs|追 捕 奸 細 
qst_retaliate_for_border_incident|報 復 邊 境 事 件 
qst_raid_caravan_to_start_war|攻 擊 中 立 國 商 隊 來 挑 起 戰 爭 
qst_cause_provocation|挑 拔 一 個 國 家 攻 打 別 的 國 家 
qst_rescue_prisoner|營 救 或 贖 回 一 名 俘 虜 
qst_destroy_bandit_lair|摧 毀 強 盜 老 巢 
qst_collect_men|召 集 五 名 手 下 
qst_learn_where_merchant_brother_is|打 聽 人 質 被 藏 在 哪 裡 了。 
qst_save_relative_of_merchant|攻 打 強 盜 老 巢 
qst_save_town_from_bandits|從 強 盜 手 中 拯 救 城 鎮 
qst_quests_end|Quests End 
