fac_no_faction|Bağlılık yok
fac_commoners|Avam
fac_outlaws|Kanunsuzlar
fac_neutral|Tarafsızlar
fac_innocents|Masumlar
fac_merchants|Tüccarlar
fac_player_faction|Oyuncu
fac_player_supporters_faction|Senin Destekçilerin
fac_kingdom_1|Svadya Krallığı
fac_kingdom_2|Vaegir Krallığı
fac_kingdom_3|Kergit Hanlığı
fac_kingdom_4|Nord Krallığı
fac_kingdom_5|Rodok Krallığı
fac_kingdom_6|Sarranid Sultanlığı
fac_manhunters|Kelle Avcıları
fac_deserters|Firariler
fac_mountain_bandits|Dağ Haydutları
fac_forest_bandits|Orman Haydutları
