pt_none|hiç
pt_rescued_prisoners|Kurtarılmış Mahkumlar
pt_enemy|Düşman
pt_hero_party|Kahraman Grubu
pt_village_defenders|Köyü Savunanlar
pt_cattle_herd|sığır sürüsü
pt_looters|Çapulcular
pt_manhunters|Kelle Avcıları
pt_steppe_bandits|Bozkır Haydutları
pt_taiga_bandits|Tundra Haydutları
pt_desert_bandits|Çöl Haydutları
pt_forest_bandits|Orman Haydutları
pt_mountain_bandits|Dağ Haydutları
pt_sea_raiders|Deniz Yağmacıları
pt_deserters|Kaçaklar
pt_merchant_caravan|Ticaret Kervanı
pt_troublesome_bandits|Belalı Haydutlar
pt_bandits_awaiting_ransom|Fidyeci Haydutlar
pt_kidnapped_girl|Kaçırılmış Kız
pt_village_farmers|Köylü Çiftçiler
pt_spy_partners|Önemsiz Gezginler
pt_runaway_serfs|Kaçak Serfler
pt_spy|Sıradan Köylü
pt_sacrificed_messenger|Kurban Ulak
pt_forager_party|Toplayıcı Bölüğü
pt_scout_party|İzciler
pt_patrol_party|Devriye
pt_messenger_party|Ulaklar
pt_raider_party|Yağmacılar
pt_raider_captives|Tutsak Yağmacılar
pt_kingdom_caravan_party|Kervan
pt_prisoner_train_party|Esir Kafilesi
pt_default_prisoners|Varsayılan Mahkumlar
pt_routed_warriors|Bozguna Uğratılmış Düşmanlar
pt_center_reinforcements|Destek Kuvvet
pt_kingdom_hero_party|Savaş Birliği
pt_steppe_bandit_lair|Bozkır Haydutları Sığınağı
pt_taiga_bandit_lair|Tundra Haydutları Sığınağı
pt_desert_bandit_lair|Çöl Haydutları Sığınağı
pt_forest_bandit_lair|Orman Haydutları Sığınağı
pt_mountain_bandit_lair|Dağ Haydutları Sığınağı
pt_sea_raider_lair|Deniz Yağmacıları Bölgesi
pt_looter_lair|Rehinecilerin İni
pt_leaded_looters|Haydut Çetesi
